 Time;Temp;RPM;COUNTER;BearingDE;BearingNDE;Unbal;Misal;Losenes 
2019-03-15-13:44:13; 28.3;0.0;0.0;0.6964343;0.6964343;0.04232188;0.0;0.0
2019-03-15-13:44:34; 28.2;0.0;0.0;0.7121144;0.7121144;0.04940176;0.0;0.0
2019-03-15-13:44:54; 28.2;0.0;0.0;1.121502;1.121502;0.04627902;0.0;0.0
2019-03-15-13:45:14; 28.2;0.0;0.0;1.036444;1.036444;0.06243314;0.0;0.0
2019-03-15-13:45:34; 28.2;0.0;0.0;0.8237601;0.8237601;0.07337381;0.0;0.0
2019-03-15-13:45:54; 28.2;0.0;0.0;0.9513873;0.9513873;0.07870662;0.0;0.0
2019-03-15-13:46:15; 28.2;0.0;0.0;0.7641405;0.7641405;0.0545646;0.0;0.0
2019-03-15-13:46:35; 28.2;0.0;0.0;0.9128548;0.9128548;0.04604364;0.0;0.0
2019-03-15-13:46:55; 28.2;0.0;0.0;0.877292;0.877292;0.05004908;0.0;0.0
2019-03-15-13:47:15; 28.2;0.0;0.0;0.8921257;0.8921257;0.05794094;0.0;0.0
2019-03-15-13:47:35; 28.2;0.0;0.0;0.7503912;0.7503912;0.02782202;0.0;0.0
2019-03-15-13:47:56; 28.2;0.0;0.0;0.9948462;0.9948462;0.07891406;0.0;0.0
2019-03-15-13:48:16; 28.1;0.0;0.0;0.9113383;0.9113383;0.04399228;0.0;0.0
2019-03-15-13:48:36; 28.1;0.0;0.0;1.067273;1.067273;0.05708466;0.0;0.0
2019-03-15-13:48:56; 28.1;0.0;0.0;0.8504171;0.8504171;0.05692717;0.0;0.0
2019-03-15-13:49:17; 28.1;0.0;0.0;1.020048;1.020048;0.03456504;0.0;0.0
2019-03-15-13:49:37; 28.1;0.0;0.0;1.005483;1.005483;0.05313804;0.0;0.0
2019-03-15-13:49:57; 28.1;0.0;0.0;0.6521963;0.6521963;0.04028428;0.0;0.0
2019-03-15-13:50:17; 28.1;0.0;0.0;1.033211;1.033211;0.07586185;0.0;0.0
2019-03-15-13:50:37; 28.1;0.0;0.0;0.884337;0.884337;0.07885389;0.0;0.0
2019-03-15-13:50:58; 28.1;0.0;0.0;0.9130594;0.9130594;0.05270542;0.0;0.0
2019-03-15-13:51:18; 28.1;0.0;0.0;0.9071797;0.9071797;0.06353417;0.0;0.0
